K_EUR,K_EAS,delta_EUR,delta_EAS,RD_EUR_pct,RD_EAS_pct,delta_ratio,RD_ratio
0.01,0.02,0.450449875153252,0.927365506221667,2.28485430643886,14.7850671621228,2.05875405316998,6.47090150144699
0.01,0.04,0.450449875153252,1.02084320529655,2.28485430643886,25.1694037744114,2.26627481015337,11.0157587306475
0.01,0.06,0.450449875153252,1.08464230708596,2.28485430643886,32.6831116217318,2.40790899701537,14.3042431763062
0.02,0.02,0.490898160307982,0.927365506221667,4.42150454901278,14.7850671621228,1.88911994626309,3.34389957043559
0.02,0.04,0.490898160307982,1.02084320529655,4.42150454901278,25.1694037744114,2.07954172135435,5.69249754136998
0.02,0.06,0.490898160307982,1.08464230708596,4.42150454901278,32.6831116217318,2.20950574841322,7.39185299018389
0.03,0.02,0.518632378543511,0.927365506221667,6.41975933000776,14.7850671621228,1.78809797572996,2.30305629885738
0.03,0.04,0.518632378543511,1.02084320529655,6.41975933000776,25.1694037744114,1.96833681723345,3.92061485183137
0.03,0.06,0.518632378543511,1.08464230708596,6.41975933000776,32.6831116217318,2.0913509297896,5.09101820514699
