ancestry,scenario,estimator,b,se,OR,n_snp,Q_het,Qp_het
EUR,full,IVW (mult. RE SE),1.2769755455231,0.058992391990346,3.58577828569412,87,262.394252804585,9.82456281696366e-20
EUR,drop_ABCG2,IVW (mult. RE SE),1.16398674981412,0.0541551492816205,3.20267612641173,85,184.984392577276,1.46264132011358e-09
EUR,drop_SLC2A9,IVW (mult. RE SE),1.36244938191389,0.0649756998215587,3.90574826430075,82,224.924967198182,1.77227930741204e-15
EUR,drop_both,IVW (mult. RE SE),1.22316257300512,0.0617772474559364,3.39791691908447,80,160.366290521506,1.76517472265599e-07
EAS,full,IVW (mult. RE SE),2.09912756395587,0.0954971263739782,8.15904855850811,119,266.494843870527,1.71534447666122e-13
EAS,drop_ABCG2,IVW (mult. RE SE),1.87499836737632,0.0968358157740406,6.52080847429512,116,201.636812511172,1.07634581413672e-06
EAS,drop_SLC2A9,IVW (mult. RE SE),2.23854243411074,0.107181510315504,9.37964986138382,115,239.740977423535,5.81740293519652e-11
EAS,drop_both,IVW (mult. RE SE),1.96525089768603,0.116891336176056,7.13670294780625,112,185.640080970643,1.15533365706471e-05
