pair,ancestry,method,b,se,pval,nsnp,note
LDL_AIS_EUR,EUR,Inverse variance weighted,0.103544745474598,0.0365510070585626,0.00461301921959585,244,""
LDL_AIS_EUR,EUR,MR Egger,0.197753093640367,0.053166824265321,0.000248170866271005,244,""
LDL_AIS_EUR,EUR,Weighted median,0.139121200000966,0.0527819471243146,0.00839460143548584,244,""
LDL_AIS_EUR,EUR,Weighted mode,0.180310102302835,0.385381368048881,0.640293705847272,244,""
LDL_AIS_EUR,EUR,MR-Egger intercept,-0.00371423877566898,0.00153552346528473,0.0163072782349613,244,""
LDL_AIS_EUR,EUR,Q (MR Egger),416.237451021587,242,2.25961263335284e-11,244,"b=Q, se=df"
LDL_AIS_EUR,EUR,Q (Inverse variance weighted),426.301031209508,243,3.35997081189466e-12,244,"b=Q, se=df"
LDL_AIS_EUR,EUR,MR-PRESSO (raw),0.103544745474598,0.0365510070585626,0.00500018435278847,244,""
LDL_AIS_EUR,EUR,MR-PRESSO (outlier-corrected),0.0890248444061194,0.0316509258089059,0.00532271179331752,239,n_outliers=5
LDL_AIS_EUR,EUR,MR-PRESSO Global,,,<0.001,244,Global pleiotropy test
LDL_AIS_EUR,EUR,Radial-IVW,0.103547091779253,0.0365508981376664,0.0046119711662083,244,""
LDL_CAD_EUR,EUR,Inverse variance weighted,0.429404515228057,0.0381118982353806,1.91093711144394e-29,249,""
LDL_CAD_EUR,EUR,MR Egger,0.553531945425165,0.0528562047922783,1.77964956950067e-21,249,""
LDL_CAD_EUR,EUR,Weighted median,0.474093785250867,0.03774671700199,3.50917446895282e-36,249,""
LDL_CAD_EUR,EUR,Weighted mode,0.481267103510962,0.471133311922947,0.308008584843121,249,""
LDL_CAD_EUR,EUR,MR-Egger intercept,-0.0054008247432649,0.00162666280529982,0.00103549325783099,249,""
LDL_CAD_EUR,EUR,Q (MR Egger),1050.75100193025,247,1.46485539570754e-99,249,"b=Q, se=df"
LDL_CAD_EUR,EUR,Q (Inverse variance weighted),1097.64615482287,248,4.21515036632844e-107,249,"b=Q, se=df"
LDL_CAD_EUR,EUR,MR-PRESSO (raw),0.429404515228057,0.0381118982353806,4.74572077827594e-24,249,""
LDL_CAD_EUR,EUR,MR-PRESSO (outlier-corrected),0.405042190894696,0.0296830280285798,1.61426785633338e-31,233,n_outliers=16
LDL_CAD_EUR,EUR,MR-PRESSO Global,,,<0.001,249,Global pleiotropy test
LDL_CAD_EUR,EUR,Radial-IVW,0.429499461110902,0.0381408320378299,2.04696444746772e-29,249,""
LDL_CES_EUR,EUR,Inverse variance weighted,0.0390098633365133,0.0645421104416487,0.545571435326915,244,""
LDL_CES_EUR,EUR,MR Egger,0.202110090151499,0.0950103996536109,0.0344117091708556,244,""
LDL_CES_EUR,EUR,Weighted median,0.103753981938126,0.0921604356993407,0.260251270962556,244,""
LDL_CES_EUR,EUR,Weighted mode,0.108530605392711,0.608884351842854,0.858679059116316,244,""
LDL_CES_EUR,EUR,MR-Egger intercept,-0.00626468670485728,0.00269834749847887,0.0210815146071995,244,""
LDL_CES_EUR,EUR,Q (MR Egger),343.362882993793,242,1.92895960753875e-05,244,"b=Q, se=df"
LDL_CES_EUR,EUR,Q (Inverse variance weighted),351.010760761572,243,6.88866343672182e-06,244,"b=Q, se=df"
LDL_CES_EUR,EUR,MR-PRESSO (raw),0.0390098633365133,0.0645421104416487,0.546135336753539,244,""
LDL_CES_EUR,EUR,MR-PRESSO (outlier-corrected),0.00402359063072949,0.0618511409420746,0.948185879876655,242,n_outliers=2
LDL_CES_EUR,EUR,MR-PRESSO Global,,,<0.001,244,Global pleiotropy test
LDL_CES_EUR,EUR,Radial-IVW,0.0390100028690935,0.0645421025516997,0.545569949251713,244,""
LDL_LAS_EUR,EUR,Inverse variance weighted,0.335919803498187,0.0833304062751076,5.54976997551404e-05,245,""
LDL_LAS_EUR,EUR,MR Egger,0.522021772703574,0.122367174442186,2.85219129717309e-05,245,""
LDL_LAS_EUR,EUR,Weighted median,0.30842187588598,0.119716856090239,0.00998752044895493,245,""
LDL_LAS_EUR,EUR,Weighted mode,0.247687344027627,0.824398577867078,0.764092726757837,245,""
LDL_LAS_EUR,EUR,MR-Egger intercept,-0.00722674950002309,0.00349952192405948,0.0399774887097842,245,""
LDL_LAS_EUR,EUR,Q (MR Egger),350.49549215778,243,7.48883777498839e-06,245,"b=Q, se=df"
LDL_LAS_EUR,EUR,Q (Inverse variance weighted),356.646478008069,244,3.32455397866662e-06,245,"b=Q, se=df"
LDL_LAS_EUR,EUR,MR-PRESSO (raw),0.335919803498187,0.0833304062751076,7.42193586341461e-05,245,""
LDL_LAS_EUR,EUR,MR-PRESSO (outlier-corrected),0.309662647603401,0.0789549870194811,0.000114541052563132,242,n_outliers=3
LDL_LAS_EUR,EUR,MR-PRESSO Global,,,<0.001,245,Global pleiotropy test
LDL_LAS_EUR,EUR,Radial-IVW,0.335927367606622,0.083330267490475,5.54746817190073e-05,245,""
LDL_SVS_EUR,EUR,Inverse variance weighted,0.0689687837867461,0.0711594320702172,0.332437964734492,243,""
LDL_SVS_EUR,EUR,MR Egger,0.106253476610739,0.104338579940975,0.309531570455343,243,""
LDL_SVS_EUR,EUR,Weighted median,0.0228951436250324,0.109464230961663,0.834326153451036,243,""
LDL_SVS_EUR,EUR,Weighted mode,0.0465074015995342,0.721324369904465,0.948645225237648,243,""
LDL_SVS_EUR,EUR,MR-Egger intercept,-0.00148359224591518,0.00303219065355031,0.625088020938017,243,""
LDL_SVS_EUR,EUR,Q (MR Egger),307.829778141694,241,0.00232288583934808,243,"b=Q, se=df"
LDL_SVS_EUR,EUR,Q (Inverse variance weighted),308.13555857157,242,0.00256495637195933,243,"b=Q, se=df"
LDL_SVS_EUR,EUR,MR-PRESSO (raw),0.0689687837867461,0.0711594320702172,0.33340562811127,243,""
LDL_SVS_EUR,EUR,MR-PRESSO (outlier-corrected),0.0865675199762588,0.0691960588258944,0.212130450268688,242,n_outliers=1
LDL_SVS_EUR,EUR,MR-PRESSO Global,,,0.002,243,Global pleiotropy test
LDL_SVS_EUR,EUR,Radial-IVW,0.0689686974881694,0.0711594110715981,0.33243842702584,243,""
